id,titre,lien,note,nb_avis,img_url,category
7,Saucisses au chou vert,/recettes/recette_saucisses-au-chou-vert_51464.aspx,4.4/5,"
            35 avis
        ",https://assets.afcdn.com/recipe/20230621/143688_w225h225c1cx3072cy1728cxt0cyt0cxb6144cyb3456.jpg,viande
8,Lapin à la moutarde maison,/recettes/recette_lapin-a-la-moutarde-maison_15983.aspx,4.8/5,"
            478 avis
        ",https://assets.afcdn.com/recipe/20250408/159503_w225h225c1cx2454cy1649cxt0cyt0cxb4908cyb3299.jpg,viande
9,Porc caramel,/recettes/recette_porc-caramel_72335.aspx,4.7/5,"
            176 avis
        ",https://assets.afcdn.com/recipe/20200116/106588_w225h225c1cx3283cy2191cxt958cyt566cxb5520cyb3684.jpg,viande
10,Falafel (croquettes de pois chiches),/recettes/recette_falafel-croquettes-de-pois-chiches_23038.aspx,4.1/5,"
            33 avis
        ",https://assets.afcdn.com/recipe/20200622/112092_w225h225c1cx1815cy2723cxt0cyt0cxb3631cyb5446.jpg,viande
11,Ris de Veau aux champignons,/recettes/recette_ris-de-veau-aux-champignons_32436.aspx,4.8/5,"
            27 avis
        ",https://assets.afcdn.com/recipe/20181017/82856_w225h225c1cx1944cy2592cxt0cyt0cxb3888cyb5184.jpg,viande
12,Rôti de veau en cocotte aux champignons,/recettes/recette_roti-de-veau-en-cocotte-aux-champignons_33366.aspx,4.8/5,"
            230 avis
        ",https://assets.afcdn.com/recipe/20160405/60711_w225h225c1cx1500cy1000.jpg,viande
13,Boeuf carottes facile,/recettes/recette_boeuf-carottes-facile_55864.aspx,4.7/5,"
            77 avis
        ",https://assets.afcdn.com/recipe/20200219/107896_w225h225c1cx3008cy2008cxt0cyt0cxb6016cyb4016.jpg,viande
14,Saucisse de Morteau au Four,/recettes/recette_saucisse-de-morteau-au-four_164997.aspx,4.8/5,"
            24 avis
        ",https://assets.afcdn.com/recipe/20150201/58546_w225h225c1cx612cy816.jpg,viande
15,Poulet à la crème et champignons,/recettes/recette_poulet-a-la-creme-et-champignons_72353.aspx,4.7/5,"
            52 avis
        ",https://assets.afcdn.com/recipe/20200219/107900_w225h225c1cx6750cy2987cxt3015cyt0cxb8660cyb5773.jpg,viande
16,Cuisse de dinde marinée au four,/recettes/recette_cuisse-de-dinde-au-four-corine04_225109.aspx,4.8/5,"
            59 avis
        ",https://assets.afcdn.com/recipe/20210112/117158_w225h225c1cx706cy1061cxt0cyt0cxb1412cyb2122.jpg,viande
