id_ingredient,singulier,pluriel,ingredient,"Energie, N x facteur Jones, avec fibres (kJ/100 g)","Protéines, N x 6.25 (g/100 g)",Lipides (g/100g),Glucides (g/100g),Sucres (g/100g),Fibres (g/100g),Sel chlorure de sodium (g/100 g),AG saturés (g/100g),Cholestérol (mg/100g),norm_ing
00145,chili,chili,Chili,494,"7,13","3,35",13,"2,58","3,56",,"1,13","14,6",chili
00146,curcuma,curcuma,Curcuma,1220,"9,68","3,25","44,4","3,21","22,7",,"1,84",0,curcuma
00147,côtelette,côtelettes,,,,,,,,,,,
00148,cheddar,cheddars,Cheddar,1660,"23,6","33,8",traces,0,0,,"19,5",102,cheddar
00149,échine,échines,,,,,,,,,,,
00150,relish,relishs,Relish,,,,,,,,,,relish
00151,knacki,knackis,Knacki,1200,"12,7","25,9","1,46","1,09","0,27",,"9,59","64,7",knacki
00152,chapon,chapons,Chapon,923,29,"11,7",0,,0,,"3,26",86,chapon
00153,épinard,épinards,épinards,117,"3,38","0,7","< 0,85",traces,"3,5",,"0,13",,epinards
00154,gouda,goudas,Gouda,1560,"22,8","31,5",traces,"< 0,25",0,,"20,3",103,gouda
00155,bacon,bacons,Bacon,500,"23,1","2,6","0,7","< 0,2",0,,"1,02","47,2",bacon
00156,caille,cailles,Caille,860,"26,8","10,9",0,0,0,,"3,06",86,caille
00157,safran,safran,Safran,1490,"11,4","5,85","61,5","42,4","3,9",,"1,59",0,safran
00158,cidre,cidres,Cidre,149,"< 0,5","< 0,6","5,34","4,96",0,,,,cidre
00159,porto,portos,Porto,,,,,,,,,,porto
00160,tripe,tripes,Tripes,342,"12,1","3,69",0,0,0,,"1,29",122,tripes
00161,pastis,pastis,Pastis,1140,0,0,"2,86",0,0,,0,0,pastis
00162,pâte,pâtes,Pâte,2110,"5,7","24,6","64,4","22,9","1,5",,"11,8","1,37",pate
00163,jambon,jambons,Jambon,501,"20,3","3,66","1,03","0,82","0,32",,"1,24",57,jambon
00164,gruyère,gruyères,Gruyère,1770,"27,9","34,6",traces,0,0,,"19,8",105,gruyere
00165,pulpe,pulpes,,,,,,,,,,,
00166,raisin,raisins,Raisin,,"0,72","0,16","15,7","15,5","0,9",,"0,054",0,raisin
00167,truffe,truffes,Truffe,,"5,77","0,51",,"0,7","8,5",,"0,11",0,truffe
00168,tournedos,tournedos,Tournedos,,,,,,,,,,tournedos
00169,graine,graines,,,,,,,,,,,
00170,couenne,couennes,Couenne,572,"19,4","6,3","0,55","< 0,2",0,,,,couenne
00171,lapin,lapins,Lapin,697,"20,5","9,2","0,5",,0,,"3,42","75,9",lapin
