Ingrédient,"Energie, N x facteur Jones, avec fibres (kJ/100 g)","Protéines, N x 6.25 (g/100 g)",Lipides (g/100g),Glucides (g/100g),Sucres (g/100g),Fibres (g/100g),Sel chlorure de sodium (g/100 g),AG saturés (g/100g),Cholestérol (mg/100g)
Guimauve,,"3,67","1,42","78,7","65,6","0,23",,"0,067",0
Guinness,,,,,,,,,
Haché de veau,575,"17,7","5,68","3,5","1,4","0,63",,"1,88",
Haddock,411,"22,6","0,73",0,0,0,,"0,13",77
Haddock sans peau,,"25,8","52,5","8,76","4,63","9,9",,"3,95",0
Halloumi,,,,,,,,,
Hampe,728,"21,6","9,76",traces,,0,,"4,36",
Hareng,840,23,"12,1",traces,0,0,,"3,51",57
Haricot,152,"1,95","0,19","5,1","1,23","3,3",,"0,042",0
Haricot azuki,152,"1,95","0,19","5,1","1,23","3,3",,"0,042",0
Haricot beurre,145,"2,19","0,3","4,45","2,2","2,7",,"0,09",
Haricot de soissons,998,"10,1","2,63","28,3",,31,,,
Haricot lingot,152,"1,95","0,19","5,1","1,23","3,3",,"0,042",0
Haricot mange-tout,128,"2,25","0,3","3,39","2,3","2,8",,"0,08",0
Haricot pinto,152,"1,95","0,19","5,1","1,23","3,3",,"0,042",0
Haricot tarbais,152,"1,95","0,19","5,1","1,23","3,3",,"0,042",0
Haricots blancs,152,"1,95",,12,"0,3","13,8",,"0,25",0
Haricots coco,547,"9,63","0,5","13,7","1,1","15,8",,"0,11",
Haricots de soja,998,"10,1","2,63","28,3",,31,,,
Haricots mungo,,"7,54","0,55","11,9","2,01","6,4",,"0,038",0
Haricots noirs,381,"0,69","< 0,5",20,"19,6","2,7",,"< 0,01",
Haricots plats,,"1,93","0,12","4,47","1,3","2,97",,0,
Haricots rouges,487,"9,63","0,6","12,3","0,5","11,6",,"0,19",0
Haricots secs,,"22,5","1,06","46,1","2,1","15,2",,"0,15",0
Haricots verts,152,"1,95","0,19","5,1","1,23","3,3",,"0,042",0
Harissa,,"2,72","2,9","7,3",,"5,1",,"0,47",
Haut de cuisse,487,"19,7","4,12",0,0,0,,"1,1",94
Herbes,206,"3,58","0,8","4,15","1,99","5,64",,"0,2",0
Herbes aromatiques,206,"3,58","0,8","4,15","1,99","5,64",,"0,2",0
Herbes de Provence,1170,"11,5","7,2",23,"18,5","40,1",,"1,88",0
Hlalem,,,,,,,,,
Homard,385,"19,6","1,32","0,11",0,0,,"0,21",128
Hostie,,,,,,,,,
Houmous,,"8,2","23,9","7,1","1,38","5,98",,"2,48",
Huile,3700,"0,21","99,9",0,0,0,,"13,5",0
Huile d'arachide,3700,"< 0,5","99,9",0,0,0,,"16,2",0
Huile d'argan,3650,0,"98,7",0,0,0,,"17,6",
Huile d'olive,3700,"< 0,5","99,9",0,0,0,,"15,2",0
Huile de chili,3700,0,100,0,0,0,,"13,5",0
Huile de coco,3700,0,100,0,0,0,,"86,5",0
Huile de colza,3700,0,100,0,0,0,,"7,26",0
Huile de friture,3700,0,100,0,0,0,,"9,86",
Huile de noisette,3700,0,100,0,0,0,,"8,34",0
Huile de noix,3700,0,100,0,0,0,,10,0
Huile de palme,3700,0,100,0,0,0,,"49,3",0
Huile de pépin de courge,3700,0,100,0,0,0,,"11,4",0
Huile de pépin de raisin,3700,0,100,0,0,0,,"11,4",0
Huile de pistache,,"21,7","47,4","18,6","7,74","10,1",,"5,52",0
Huile de sésame,3700,0,100,0,0,0,,"14,9",0
Huile de sésame toasté,3700,0,100,0,0,0,,"14,9",0
Huile de tournesol,3700,"< 0,5",100,0,0,0,,"11,1",0
Huile de truffe,,"5,77","0,51",,"0,7","8,5",,"0,11",0
Huile essentielle de citron,,"0,25","0,23","1,24","1,24","0,45",,"0,026",0
Huile parfumée au basilic,145,"3,35","0,47","2,55","0,37","3,47",,"0,13",0
Huile végétale,3700,"0,21","99,9",0,0,0,,"13,5",0
Huître,283,"8,64","1,91","3,86",traces,0,,"0,34","20,3"
Hydromel,,,,,,,,,
Hypocras,,,,,,,,,
Iceberg,,"1,01","0,18","2,45","1,48","1,15",,"0,023",0
Igname,463,"1,49","0,14","23,6","0,49","3,9",,"0,029",0
Irish mist,,0,"0,02","15,9","15,8",0,,"0,003",0
Ivoire (Chocolat blanc de chez Valrhona),,"6,16","34,2","57,1",56,1,,"21,3",23
Jägermeister,,,,,,,,,
Jalapeño,,,,,,,,,
Jambon,501,"20,3","3,66","1,03","0,82","0,32",,"1,24",57
Jambon aux herbes,612,"9,5","11,2","1,98","0,8","0,55",,"3,6",301
Jambon blanc,527,"20,8","4,28","0,81","0,77","< 0,15",,"1,58","39,8"
Jambon cru,939,"25,9","13,2","0,76","0,75",traces,,"5,09","72,2"
Jambon de Parme,1040,"27,2","15,4","0,3","0,3",0,,"5,42",
Jambon de pays,1040,"27,2","15,4","0,3","0,3",0,,"5,42",
Jambon de vendée,1040,"27,2","15,4","0,3","0,3",0,,"5,42",
Jambon de virginie,,"0,5",0,"12,8","11,2",0,,0,0
Jambon de volaille,811,"18,6",13,"0,8",0,0,,2,"56,9"
Jambon fumé,1020,"24,2","16,1","0,98","0,53",0,,"6,72",88
Jambon ibérique,501,"20,3","3,66","1,03","0,82","0,32",,"1,24",57
Jambon italien finement découpé,501,"20,3","3,66","1,03","0,82","0,32",,"1,24",57
Jambon persillé,637,19,"7,9","0,48","0,3",0,,"2,8","62,5"
Jambon sec,961,"28,7","12,6","0,48","0,33",traces,,"4,99",
Jambonneau,618,"20,2","7,31","0,28","0,28",0,,"2,4",
Jarret d'agneau,679,31,"4,1",traces,,0,,"1,13",50
Jarret de boeuf,679,31,"4,1",traces,,0,,"1,13",50
Jarret de porc,780,"19,9",12,0,0,0,,"3,94",67
Jarret de veau,873,"37,4","6,43",traces,,0,,"1,95",84
Jaune d'oeuf,,"0,69","0,1","7,31","7,31","1,1",,"0,014",0
Jésus,,,,,,,,,
Jeune pousse d'endive,1390,"28,3","24,2",traces,0,0,,"17,4",
Jeunes pousses,1390,"28,3","24,2",traces,0,0,,"17,4",
Joue,992,"39,2","8,82",traces,,0,,"3,19",
Joue de lotte,326,"17,8","0,66",traces,0,0,,"0,17",60
Joue de porc,992,"39,2","8,82",traces,,0,,"3,19",
Jujube,,,,,,,,,
Julienne,343,"19,2","0,44",traces,0,0,,"0,11",38
Julienne de légumes,,"1,19","0,25","4,08","3,13","2,28",,"0,1",
Jumbo,,,,,,,,,
Jus citron,,"0,25","0,23","1,24","1,24","0,45",,"0,026",0
Jus d'abricot,1050,"< 0,5","0,3","59,7","56,8","1,1",,"0,041",0
Jus d'abricots,1050,"< 0,5","0,3","59,7","56,8","1,1",,"0,041",0
Jus d'agrumes,,"0,7","0,16","10,4","10,1","0,44",,"0,05",
Jus d'ananas,222,"0,41","0,096","11,9","11,9","0,18",,"0,044",0
Jus d'orange,193,"0,61","0,11","9,61","9,61","0,28",,"0,053",0
Jus d'orange,193,"0,61","0,11","9,61","9,61","0,28",,"0,053",0
Jus d'oranges,193,"0,61","0,11","9,61","9,61","0,28",,"0,053",0
Jus d'un citron vert,,"0,25","0,23","1,24","1,24","0,45",,"0,026",0
Jus de banane,383,"1,06","< 0,5","19,7","15,6","2,7",,"< 0,01",0
Jus de bananes,383,"1,06","< 0,5","19,7","15,6","2,7",,"< 0,01",0
Jus de carottes,,"0,4","0,1","6,55","5,95","0,33",,"0,037",0
Jus de cassis,,"1,33","0,86","9,68","9,68","5,8",,"0,14",0
Jus de citron,,"0,25","0,23","1,24","1,24","0,45",,"0,026",0
Jus de citron vert,,"0,25","0,23","1,24","1,24","0,45",,"0,026",0
Jus de citrons,,"0,25","0,23","1,24","1,24","0,45",,"0,026",0
Jus de cranberries,"91,7","0,72","0,13","4,66","4,46","0,37",,"0,036",0
Jus de cranberry (canneberges),1410,"< 0,5",1,"76,4","72,8","5,7",,"0,2",0
Jus de cuisson,"91,7","0,72","0,13","4,66","4,46","0,37",,"0,036",0
Jus de fraise,162,"0,63","< 0,5","6,03","5,6","3,8",,"< 0,01",0
Jus de fraises,162,"0,63","< 0,5","6,03","5,6","3,8",,"< 0,01",0
Jus de framboise,206,"1,19","0,8","5,83","5,4","4,3",,"0,13",0
Jus de fruit de la passion,,"1,08","0,37",,,,,,
Jus de fruit de la passion (maracuja),,"1,08","0,37",,,,,,
Jus de fruit multivitaminé,,"< 0,5","< 0,8","11,7","11,1","< 0,5",,,
Jus de fruits exotiques,200,"0,54","0,13","10,5","10,3","0,35",,"0,031",0
Jus de fruits rouges,200,"0,54","0,13","10,5","10,3","0,35",,"0,031",0
Jus de goyave,,"1,59","0,73","9,02","8,92","5,15",,"0,21",0
Jus de grenade,,"0,2",0,"11,6","11,6",traces,,0,0
Jus de kiwi,255,"0,88","0,6",11,"8,9","2,4",,"0,13",0
Jus de lychees (litchis),"91,7","0,72","0,13","4,66","4,46","0,37",,"0,036",0
Jus de mangue,,"0,19",0,"9,5","9,3",traces,,traces,0
Jus de mangues,,"0,19",0,"9,5","9,3",traces,,traces,0
Jus de mirabelle,325,"0,63","< 0,5",18,"13,3","2,2",,"< 0,01",
Jus de pamplemousses,174,"0,52","0,1","8,41","8,41","0,21",,"0,055",0
Jus de poires,,"0,49","0,27","10,9","9,01","2,9",,"0,067",0
Jus de pomme,208,"0,17","0,14","11,4","10,9","0,23",,"0,046",0
Jus de pommes,208,"0,17","0,14","11,4","10,9","0,23",,"0,046",0
Jus de rôti,689,"30,5","4,31","0,65",0,0,,"1,32","65,5"
Jus de tomates,"98,4","0,88","0,17","4,13","4,13","0,23",,traces,
Jus de veau,474,"15,4",4,"3,1","0,3","0,8",,"2,03","56,6"
Jus de veau lié,474,"15,4",4,"3,1","0,3","0,8",,"2,03","56,6"
Jus de yuzu,"91,7","0,72","0,13","4,66","4,46","0,37",,"0,036",0
Jus exotique,,"0,7","0,16","10,4","10,1","0,44",,"0,05",
Kadaif,,,,,,,,,
Kaki,290,"0,88","< 0,3","14,3","13,9","3,4",,"< 0,01",0
Kale,,,,,,,,,
Kangourou,,,,,,,,,
Kari gosse,,,,,,,,,
Kasha,,,,,,,,,
Kechek,,,,,,,,,
Kefalotiri,,,,,,,,,
Kéfir,,"3,13","3,5","4,5","3,62",0,,"2,33",14
Ketchup,420,"1,27","0,19","21,4","20,8","1,15",,"0,069",0
Kinder bueno,2300,"8,75","34,2","50,9","43,3","1,7",,"16,6","9,46"
Kinder surprise,2300,"8,75","34,2","50,9","43,3","1,7",,"16,6","9,46"
Kiri,,"10,6","18,9","24,1","3,1","1,2",,"11,3",49
Kirsch,,,,,,,,,
Kiwi,255,"0,88","0,6",11,"8,9","2,4",,"0,13",0
Kiwis,255,"0,88","0,6",11,"8,9","2,4",,"0,13",0
Knack,1200,"12,4","25,9","1,39","1,06","1,37",,"10,9","73,1"
Knacki,1200,"12,7","25,9","1,46","1,09","0,27",,"9,59","64,7"
Knacki ball,1200,"12,7","25,9","1,46","1,09","0,27",,"9,59","64,7"
Kombu,905,"9,51","1,13","25,6",,"33,2",,"0,15",
Kombucha,40,"< 0,5","< 0,3","1,45","1,45","< 0,5",,"< 0,01",
Kororima,,,,,,,,,
Krisprolls,1680,"9,75","8,25","68,5","6,2","7,3",,"1,64",
Kub or,,,,,,,,,
Kumquat,,"1,57","1,18","9,6","9,36","5,45",,"0,17",0
LABEYRIE Confit de Canard,1140,"25,7","18,8","0,15","0,14","0,4",,"7,26",132
Lactaire délicieux,,,,,,,,,
Lait,200,"3,32","1,59","4,82","4,62",0,,"1,06","5,95"
Lait caillé,860,"26,8","10,9",0,0,0,,"3,06",86
Lait concentré,1370,"7,54","7,87","55,6","55,6",0,,"5,17",34
Lait concentré non sucré,513,"6,31","5,9","9,91","9,47",< 3,,"3,96",
Lait concentré sucré,1370,"7,54","7,87","55,6","55,6",0,,"5,17",34
Lait concentré vanillé,1370,"7,54","7,87","55,6","55,6",0,,"5,17",34
Lait d'amande,150,"1,06","3,2","0,68",traces,"< 0,5",,"0,31",0
Lait d'avoine,179,"< 0,5","1,1","7,8",5,"< 0,5",,"0,2",
Lait d'épeautre,1470,"12,5",3,64,"1,3","9,3",,"0,5",
Lait de brebis,431,"5,56","6,97","4,5","4,5",0,,"4,8",27
Lait de châtaigne,290,"< 0,5","1,4","13,5","9,01","0,61",,"0,18",
Lait de chèvre,241,"3,15","3,2","4,01","4,01",0,,"2,16","12,1"
Lait de coco,775,"1,77","18,4","3,4","2,1","0,57",,"16,5",0
Lait de noisettes,,17,"56,9","7,16","4,9","11,6",,"4,75",0
Lait de riz,226,"< 0,5",1,"10,8","5,6","< 0,5",,"0,11",
Lait de soja,149,"3,63","2,07","0,7","< 0,4","0,6",,"0,26","< 0,7"
Lait demi-écrémé,197,"3,13","1,54","4,9","4,81",0,,"1,06",6
Lait demi-écrémé concentré,197,"3,13","1,54","4,9","4,81",0,,"1,06",6
Lait écrémé,143,"3,44","0,06","4,64","4,64",0,,"0,03",2
Lait en poudre,1540,"34,6","0,7",54,"53,1",0,,"0,34",13
Lait en poudre demi-écrémé,1940,"30,8","17,5","43,4","43,4",0,,"11,6",
Lait en poudre écrémé,1540,"34,6","0,7",54,"53,1",0,,"0,34",13
Lait en poudre entier,2090,"26,9","26,8","37,5","37,5",0,,"17,3",107
Lait entier,273,"3,25","3,63","4,85","4,2",0,,"2,4","12,5"
Lait entier concentré,1370,"7,54","7,87","55,6","55,6",0,,"5,17",34
Lait fermenté,200,"3,32","1,59","4,82","4,62",0,,"1,06","5,95"
Lait maternisé,200,"3,32","1,59","4,82","4,62",0,,"1,06","5,95"
Lait ribot,143,"3,44","0,6","2,18","2,18",< 3,,"0,39","4,9"
Lait végétal,858,"13,4","7,1","20,8","3,97","3,1",,"0,73",
Laitue,856,"15,9","2,03","13,8",,"34,4",,"0,36",
Lambig,,,,,,,,,
Lambis,,,,,,,,,
Lamproie,,,,,,,,,
Langouste,449,"21,8","1,52","1,3",0,0,,"0,26",80
Langoustine,,"20,9","0,98",,,0,,"0,14",149
Langres,1170,"16,4","23,8",traces,"< 0,2",traces,,"16,9","89,3"
Langue,981,"23,7","15,6",0,0,0,,"6,05",145
Langue de chat,,"5,66","10,7","77,9","40,3","1,86",,"6,85",67
Langue de mouton,550,"12,8","6,83","4,5","2,4",< 1,,"2,73","57,8"
Langue de veau,986,21,17,0,,0,,"4,83",162
Langue écarlate,981,"23,7","15,6",0,0,0,,"6,05",145
Lapin,697,"20,5","9,2","0,5",,0,,"3,42","75,9"
Lapin entier,697,"20,5","9,2","0,5",,0,,"3,42","75,9"
Lard,3330,"2,92","88,7",0,0,0,,"32,2",57
Lard fumé,3330,"2,92","88,7",0,0,0,,"32,2",57
Lardons,1340,"23,8","24,5",2,,0,,"12,6","80,6"
Lardons fumés,1080,"14,7","22,1","0,8","0,8",0,,"8,25","55,5"
Lasagnes,749,7,"10,2",14,"2,3","1,4",,"5,23","25,6"
Lasagnettes,,,,,,,,,
Laurier,1480,"7,61","8,36","48,6","48,6","26,3",,"2,28",0
Lavande,,,,,,,,,
Lécithine de soja,3210,0,83,8,"3,3",traces,,"12,6",0
Leerdammer,,,,,,,,,
Leffe,,,,,,,,,
Légumes,292,"6,4",3,"3,6","2,59","1,4",,"0,46","30,8"
Lemon cress,,,,,,,,,
Lemon curd,,,,,,,,,
Lemon-grass,1940,"6,58","19,8","62,1","2,49","5,19",,"1,94","1,01"
Lentille blonde,,"26,1","1,9","48,3","1,4","12,1",,"0,32",
Lentilles,,"9,7","0,7","16,3","0,4",6,,"0,13",
Lentilles corail,,"27,7","0,8","44,9","1,29","15,4",,"0,14",0
Lentilles vertes,,"25,1","1,8","44,5","1,1","16,4",,"0,24",
Lentin,258,"1,56","0,22","12,3","3,84","2,1",,"0,05",0
Levain,1090,"8,13","1,3","53,1","2,4","2,1",,"0,2",
Levure,1400,"40,4","4,5","21,8","2,5","22,5",,"0,7","< 0,7"
Levure chimique,,"1,96","0,2","33,2","0,1","1,9",,"< 0,1",0
Levure de bière,,"8,3","1,9","11,9",0,"7,15",,"0,26",0
Levure de boulanger,,"8,3","1,9","11,9",0,"7,15",,"0,26",0
Levure de boulanger fraîche,,"8,3","1,9","11,9",0,"7,15",,"0,26",0
Levure de boulanger sèche,,"8,3","1,9","11,9",0,"7,15",,"0,26",0
Liant,,,,,,,,,
Liant instantané,1670,"5,1","1,7","88,3","12,7","1,8",,"0,64",< 700
Lieu jaune,425,"24,4","< 0,5",traces,0,0,,"< 0,01","70,1"
Lieu noir,423,"23,1","0,81",traces,0,0,,"0,29",105
Lieu noir de Norvège,423,"23,1","0,81",traces,0,0,,"0,29",105
Lièvre,466,"21,6","2,67",0,0,0,,"0,93",60
Lillet blanc,311,"0,75","< 0,5","16,6","15,5",1,,"< 0,01","< 0,13"
Limande,380,"17,4","2,27",traces,0,0,,"0,12",73
Lime,,"0,35","0,57",,,,,,
Lime cordial,,"0,35","0,57",,,,,,
Limonade,,"0,04","0,02","8,45","8,45",traces,,0,0
"Limonade (soda, sprite, 7up)",,"0,04","0,02","8,45","8,45",traces,,0,0
Limoncello,,,,,,,,,
Lingue,338,"18,9","0,44",traces,0,0,,"0,095","51,9"
Linguine,,,,,,,,,
Liqueur,1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
Liqueur d'abricots (abricot brandy),1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
Liqueur d'amande,1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
Liqueur d'anis,1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
Liqueur d'armagnac à l'orange,1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
Liqueur d'orange,1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
Liqueur de cacao blanc,1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
"Liqueur de café (kahlua, marie brizard)",1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
Liqueur de cerises,235,"0,81","< 0,3",13,10,"1,6",,"< 0,01",0
Liqueur de citrons (limoncello),1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
"Liqueur de coco (cocogif, malibu)",1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
Liqueur de figue,1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
Liqueur de fraises,1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
Liqueur de framboise,1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
Liqueur de litchi,1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
Liqueur de menthe,240,"3,52","0,84","5,3","5,3","7,4",,"0,22",0
Liqueur de menthe blanche (get 31),240,"3,52","0,84","5,3","5,3","7,4",,"0,22",0
Liqueur de menthe verte (get 27),240,"3,52","0,84","5,3","5,3","7,4",,"0,22",0
Liqueur de mirabelles,1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
Liqueur de noix,1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
Liqueur de pomme,1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
"Liqueur de pommes (manzana, manzanita)",1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
Liqueur de prunes,1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
Liqueur de quetsches,1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
Liqueur de rose,1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
Liqueur mandarine,1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
Liqueur mandarine napoléon,1380,"0,1","0,3","39,6","35,3",0,,"0,083",0
Liseron d'eau,,"0,44","0,023",,,,,,
Litchi,344,"1,13","< 0,5","16,1","15,7",2,,"< 0,01",0
Litchi au sirop,,"0,5","< 0,5","16,2","15,3","1,4",,,
Livarot,1260,"24,1","22,6",traces,"< 0,2",0,,"15,3","77,3"
Livèche,,,,,,,,,
Longanisse,,,,,,,,,
Longe de thon rouge,649,"23,3","6,81",traces,0,0,,"1,26",38
Lotte,285,"15,1","0,74",traces,0,"< 0,2",,"0,2",25
Lotus,,,,,,,,,
Lou pérac,,,,,,,,,
Loup,414,"20,1","1,94",traces,0,0,,"0,49","58,1"
Loup de mer,782,"8,4",14,"6,5","1,2","1,3",,"3,4","37,3"
Lupini,,,,,,,,,
M&M's cacahuète,2110,"5,49","24,3",65,"57,4","1,98",,15,"12,1"
Maasdam,1500,25,"28,4",traces,traces,0,,"19,5",97
Macaron,,10,"21,2","49,7","45,2","2,9",,"4,46","19,3"
Macaroni,,,,,,,,,
Macédoine,170,"2,32","0,28","5,59","1,73","3,16",,"0,076",0
Mâche,"70,1",2,"< 0,5","0,5",traces,"2,3",,"< 0,01",0
Macis,,,,,,,,,
Macreuse,619,"27,3","4,2",traces,,0,,"1,59",
Madeleine,,"5,6","25,5","52,6","27,4","0,8",,"15,7",163
Madère,,"0,6","2,2","3,6","1,9","0,5",,"1,1",
Magret de Canard,928,"26,7","12,8",traces,0,0,,"2,46",106
Magret de canard fumé,1510,"21,9","30,5","0,55","0,55",0,,"11,3",
Magret de canard séché,928,"26,7","12,8",traces,0,0,,"2,46",106
Magret fumé,1510,"21,9","30,5","0,55","0,55",0,,"11,3",
Magret séché,928,"26,7","12,8",traces,0,0,,"2,46",106
Mahi mahi,,,,,,,,,
Maïs,447,"2,82","1,68","18,4","5,16","3,1",,"0,26",0
Maïs à pop corn,2030,11,"23,8","52,6","0,57","8,1",,"9,85","3,3"
Maïzena,,,,,,,,,
Malabars,,,,,,,,,
Malibu,,,,,,,,,
Malibu coco,1650,"6,22","2,82","83,2","29,7","3,19",,"1,5",0
Malte,,"9,9","5,03","79,4","78,5",,,"2,38",1
Manchego,,,,,,,,,
Mandarine,200,"0,81","< 0,5","9,17","8,6","1,7",,"< 0,01",0
Mangoustan,,,,,,,,,
Mangue,314,"0,63","< 0,5","14,3","12,9","1,6",,"< 0,01",0
Maniguette,,,,,,,,,
Manioc,561,"0,69","0,043",32,,"0,4",,,
Manouri,,,,,,,,,
Manzana,,,,,,,,,
Maquereau,949,"21,5","15,8",traces,0,0,,"4,44","81,8"
Marasquin,,,,,,,,,
Marc,,,,,,,,,
Marcassin,,,,,,,,,
Margarine,2600,"0,13",70,"0,24","0,24",0,,"29,2","5,6"
Marie brizard,,,,,,,,,
Marjolaine,1140,"12,7","7,04","20,3","4,09","40,3",,"0,53",0
Marlin,,,,,,,,,
Marmelade d'abricot,1050,"< 0,5","0,3","59,7","56,8","1,1",,"0,041",0
Marmelade d'orange,1050,"< 0,5","0,4","59,3","56,9","1,5",,"0,14",0
Maroilles,1450,"20,8","29,5",traces,,0,,"17,3",
MaronSui's,872,"2,13","6,5","34,4","28,3","1,1",,"4,52","15,7"
Marron glacé,1370,"0,94","< 0,5","79,5","56,6","0,9",,"< 0,01",
Marrons,1370,"0,94","< 0,5","79,5","56,6","0,9",,"< 0,01",
Mars,,,,,,,,,
Marsala,887,"0,1",0,"27,9","27,9",0,,0,0
Marshmallow,,"3,67","1,42","78,7","65,6","0,23",,"0,067",0
Martini,,,,,,,,,
Martini blanc,311,"0,75","< 0,5","16,6","15,5",1,,"< 0,01","< 0,13"
Martini Rosso,,"4,8",27,"8,58","2,75","4,15",,"3,95",
Mascarpone,,"4,29",39,4,4,0,,"25,7",123
Massala,,"2,6","1,7","14,3","12,3","1,9",,"0,35",
Massalé,,,,,,,,,
Massepain,,,,,,,,,
Mastelle,,,,,,,,,
Matière grasse,1940,"6,58","19,8","62,1","2,49","5,19",,"1,94","1,01"
Maton,,,,,,,,,
Maury,,,,,,,,,
Mayonnaise,,"1,36","75,2","2,62","1,03","0,32",,"7,27",70
Mayonnaise au citron,,5,"20,9","42,7","30,1","1,8",,"10,7",121
Mélange 4 épices,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0
Mélange 4 parfums,,"0,39",0,"2,7","0,98",0,,0,0
Mélange 5 baies,,"0,39",0,"2,7","0,98",0,,0,0
Mélange 5 épices,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0
Mélange 5 parfums,,"0,39",0,"2,7","0,98",0,,0,0
Mélange d'épices 5 parfums,,"2,94","1,1","71,5","38,2",3,,"0,18",2
Mélange d'épices indiennes,,"2,94","1,1","71,5","38,2",3,,"0,18",2
Mélange d'épices massala,,"2,94","1,1","71,5","38,2",3,,"0,18",2
Mélange d'épices mexicaines,,"2,94","1,1","71,5","38,2",3,,"0,18",2
Mélange d'épices orientales,,"2,94","1,1","71,5","38,2",3,,"0,18",2
Mélange d'épices pour chili,,"2,94","1,1","71,5","38,2",3,,"0,18",2
Mélange d'herbes pour poisson,1080,5,23,7,"4,5","2,5",,16,
Mélange poivre 5 baies,1380,"13,3","7,5","39,5","0,64","25,7",,"2,9",0
Mélasse,,0,"0,1","74,7","74,7",0,,"0,018",0
Melfor,,,,,,,,,
Mélisse,,,,,,,,,
Melloukhia,,"1,13",21,"0,2",,"8,4",,,
Melon,265,"1,13","< 0,5","14,8","10,6","1,3",,"< 0,01",0
Melon d'eau,265,"1,13","< 0,5","14,8","10,6","1,3",,"< 0,01",0
Melon gallia,265,"1,13","< 0,5","14,8","10,6","1,3",,"< 0,01",0
Melon jaune,265,"1,13","< 0,5","14,8","10,6","1,3",,"< 0,01",0
Melonade,,,,,,,,,
Menthe,240,"3,52","0,84","5,3","5,3","7,4",,"0,22",0
Merguez,1180,"13,1","11,4",31,"2,92","1,81",,"5,2","28,5"
Meringue,,"4,06","< 0,5","94,3","94,3","< 0,5",,"< 0,01",0
Merlan,417,23,"0,7",traces,0,0,,"0,13",55
Merlu,472,"21,2",3,traces,0,0,,"0,92","77,4"
Merluchon,,,,,,,,,
Mérou,349,"18,6","0,86",traces,0,0,,"0,2",37
Mesclun,,2,0,"2,5",0,2,,0,
Metton,,,,,,,,,
Michoko,,,,,,,,,
Mie de pain,1140,"9,66","5,41","43,6","4,42","5,74",,"1,15","< 0,5"
Miel au romarin,,"0,56",0,"81,7","79,8",0,,0,0
Miel Boisson chaude Lune de Miel®,,"0,56",0,"81,7","79,8",0,,0,0
Miel d'acacia,,"0,56",0,"81,7","79,8",0,,0,0
Miel de fleurs,,"0,56",0,"81,7","79,8",0,,0,0
Miel de lavande,,"0,56",0,"81,7","79,8",0,,0,0
Miel liquide,,"0,56",0,"81,7","79,8",0,,0,0
Miel toutes fleurs,,"0,56",0,"81,7","79,8",0,,0,0
Miettes de crabe,,"18,3","3,8",,,0,,"1,14",115
Miettes de pain,1150,"9,01","1,61","54,4","2,74","3,84",,"0,37",
Mignonette de veau,474,"15,4",4,"3,1","0,3","0,8",,"2,03","56,6"
Mikado,,,,,,,,,
Mil,487,"3,76",1,"22,4","0,13","1,3",,"0,17",0
Millet,1480,"10,2","4,1","63,2","0,5","9,7",,"0,76",
Mimolette,1290,"24,4","23,4",traces,"< 0,25",0,,"16,8",67
Mincemeat,,,,,,,,,
Mini mais,1610,"11,2","3,13","74,4","2,02","4,32",,"1,4",
Mini mozzarella,949,"16,1","17,7","0,75","0,7",0,,"11,7",79
Mini roulé,,"4,41","6,5","64,2","43,9","1,64",,"0,91","62,6"
Minis lapins Kitkat®,697,"20,5","9,2","0,5",,0,,"3,42","75,9"
Mirabelle,325,"0,63","< 0,5",18,"13,3","2,2",,"< 0,01",
Mirin,,,,,,,,,
Miso,,"11,7","5,31","18,1","6,2","5,4",,"1,01",0
Miso blanc,,"11,7","5,31","18,1","6,2","5,4",,"1,01",0
Mizithra,,,,,,,,,
Mizuna,,,,,,,,,
Mloukhia,,,,,,,,,
Moelle,,,,,,,,,
Moelle de boeuf,583,"21,9","5,2","0,33",,< 3,,"1,8","60,2"
Mogette,,,,,,,,,
Molokheya,,,,,,,,,
Monbazillac,,,,,,,,,
Mont d'or,1260,"18,5","25,4",traces,traces,0,,"16,3",
Montepulciano,,,,,,,,,
Monterey jack,,,,,,,,,
